Source ID,Source Name,Bundle ID,Version,Asset Name,Downloads,Asset Size,Release Tag,Release Date
dsre-git-skillset,Git Skillset,dsre-git-skillset,unknown,dsre-git-skillset.bundle.zip,19,7795,dsre-git-skillset-v0.1.0,2026-03-13T14:41:17Z
spec-driven-instructions,Task driven workflow,workflow-nevio,unknown,workflow-nevio.bundle.zip,44,22622,workflow-nevio-v2.0.7,2026-05-13T12:09:45Z
spec-driven-instructions,Task driven workflow,pr-review,unknown,pr-review.bundle.zip,31,27363,pr-review-v1.0.2,2026-05-13T12:10:49Z
spec-driven-instructions,Task driven workflow,foursight-code-assessment,unknown,foursight-code-assessment.bundle.zip,12,20549,foursight-code-assessment-v1.0.1,2026-05-13T12:10:45Z
spec-driven-instructions,Task driven workflow,workflow-nevio,unknown,workflow-nevio.bundle.zip,135,22562,workflow-nevio-v2.0.6,2026-04-07T15:03:03Z
spec-driven-instructions,Task driven workflow,pr-review,unknown,pr-review.bundle.zip,73,26744,pr-review-v1.0.1,2026-04-07T14:53:16Z
spec-driven-instructions,Task driven workflow,foursight-code-assessment,unknown,foursight-code-assessment.bundle.zip,16,19924,foursight-code-assessment-v1.0.0,2026-04-07T14:53:13Z
spec-driven-instructions,Task driven workflow,workflow-nevio,unknown,workflow-nevio.bundle.zip,21,22534,workflow-nevio-v2.0.5,2026-04-02T14:18:23Z
spec-driven-instructions,Task driven workflow,task-driven-agents,unknown,task-driven-agents.bundle.zip,14,26918,task-driven-agents-v1.0.5,2026-04-02T14:18:19Z
spec-driven-instructions,Task driven workflow,pr-review,unknown,pr-review.bundle.zip,25,16721,pr-review-v1.0.0,2026-03-23T16:36:38Z
spec-driven-instructions,Task driven workflow,agents-md-creator,unknown,agents-md-creator.bundle.zip,16,14560,agents-md-creator-v1.0.0,2026-03-05T10:29:13Z
spec-driven-instructions,Task driven workflow,workflow-nevio,unknown,workflow-nevio.bundle.zip,241,22132,workflow-nevio-v2.0.4,2026-02-03T17:14:13Z
spec-driven-instructions,Task driven workflow,task-driven-agents,unknown,task-driven-agents.bundle.zip,54,34288,task-driven-agents-v1.0.4,2026-01-26T12:47:58Z
spec-driven-instructions,Task driven workflow,workflow-nevio,unknown,workflow-nevio.bundle.zip,82,22137,workflow-nevio-v2.0.3,2026-01-21T16:32:15Z
spec-driven-instructions,Task driven workflow,workflow-nevio,unknown,workflow-nevio.bundle.zip,2,22065,workflow-nevio-v2.0.1,2026-01-12T09:03:44Z
spec-driven-instructions,Task driven workflow,task-driven-agents,unknown,task-driven-agents.bundle.zip,4,34244,task-driven-agents-v1.0.3,2026-01-12T09:03:41Z
spec-driven-instructions,Task driven workflow,task-driven-agents,unknown,task-driven-agents.bundle.zip,3,33435,task-driven-agents-v1.0.2,2026-01-06T14:26:57Z
spec-driven-instructions,Task driven workflow,workflow-nevio,1.0.21,workflow-nevio-1.0.21.zip,20,18447,1.0.21,2025-12-19T10:05:50Z
spec-driven-instructions,Task driven workflow,task-driven-agents,unknown,task-driven-agents.bundle.zip,2,32091,task-driven-agents-v1.0.1,2025-12-19T21:06:09Z
spec-driven-instructions,Task driven workflow,workflow-nevio,1.0.20,workflow-nevio-1.0.20.zip,37,17887,1.0.20,2025-12-12T14:26:26Z
spec-driven-instructions,Task driven workflow,workflow-nevio,1.0.19,workflow-nevio-1.0.19.zip,40,15654,1.0.19,2025-12-05T10:09:15Z
spec-driven-instructions,Task driven workflow,workflow-nevio,1.0.18,workflow-nevio-1.0.18.zip,50,15067,1.0.18,2025-12-03T12:17:09Z
spec-driven-instructions,Task driven workflow,workflow-nevio,1.0.17,workflow-nevio-1.0.17.zip,60,14706,1.0.17,2025-12-02T09:32:32Z
spec-driven-instructions,Task driven workflow,workflow-nevio,1.0.16,workflow-nevio-1.0.16.zip,18,15836,1.0.16,2025-11-28T11:48:38Z
spec-driven-instructions,Task driven workflow,workflow-nevio,1.0.15,workflow-nevio-1.0.15.zip,8,15835,1.0.15,2025-11-28T11:40:07Z
spec-driven-instructions,Task driven workflow,workflow-nevio,1.0.14,workflow-nevio-1.0.14.zip,3,15688,1.0.14,2025-11-28T11:26:03Z
spec-driven-instructions,Task driven workflow,workflow-nevio,1.0.13,workflow-nevio-1.0.13.zip,7,15678,1.0.13,2025-11-28T11:22:34Z
spec-driven-instructions,Task driven workflow,workflow-nevio,1.0.12,workflow-nevio-1.0.12.zip,5,15670,1.0.12,2025-11-27T16:42:35Z
spec-driven-instructions,Task driven workflow,workflow-nevio,1.0.5,workflow-nevio-1.0.5.zip,4,10267,1.0.5,2025-11-24T11:20:24Z
spec-driven-instructions,Task driven workflow,workflow-nevio,1.0.4,workflow-nevio-1.0.4.zip,2,10860,1.0.4,2025-11-18T17:27:47Z
spec-driven-instructions,Task driven workflow,workflow-nevio,1.0.3,workflow-nevio-1.0.3.zip,3,4468,1.0.3,2025-11-14T13:49:17Z
spec-driven-instructions,Task driven workflow,workflow-nevio,1.0.2,workflow-nevio-1.0.2.zip,0,4468,1.0.2,2025-11-14T13:47:13Z
ospo-skills,OSPO Skills Collection,amadeus-ospo,unknown,amadeus-ospo.bundle.zip,58,73824,amadeus-ospo-v1.0.1,2026-01-19T17:16:13Z
ospo-skills,OSPO Skills Collection,amadeus-ospo,unknown,amadeus-ospo.bundle.zip,4,68569,amadeus-ospo-v1.0.0,2026-01-14T22:11:22Z
aude-skills,AUDE Skills Collection,aude,unknown,aude.bundle.zip,50,9373,aude-v0.1.5,2026-02-06T16:45:46Z
aude-skills,AUDE Skills Collection,aude,unknown,aude.bundle.zip,3,9356,aude-v0.1.4,2026-02-06T13:11:16Z
slidev-skills,Slidev Skills Collection,slidev,unknown,slidev.bundle.zip,32,28304,slidev-v1.0.1,2026-03-31T12:37:26Z
