Source ID,Source Name,Repository,Total Downloads,Bundle Count,Version Count,Latest Release
dsre-git-skillset,Git Skillset,amadeus-digital/dsre-git-skillset,11,1,1,2026-03-13T14:41:17Z
spec-driven-instructions,Task driven workflow,amadeus-airlines-solutions/workflow-instructions,820,5,19,2026-04-07T15:03:03Z
ospo-skills,OSPO Skills Collection,Amadeus-xDLC/ospo-skills-collection,52,1,1,2026-01-19T17:16:13Z
aude-skills,AUDE Skills Collection,amadeus-cloud-platform/aud.aude-skills-collection,44,1,1,2026-02-06T16:45:46Z
slidev-skills,Slidev Skills Collection,Amadeus-xDLC/devops.slidev-skills-collection,35,1,1,2026-03-31T12:37:26Z
ai-engineering-primitives,AI Engineering Primitives,amadeus-airlines-solutions/ai-engineering-primitives,51,1,1,2026-04-23T09:30:32Z
code-reviewer-generator-skills,PR Reviewer Generator,Amadeus-xDLC/gen.code-reviewer-generator-skills-collection,67,1,1,2026-03-19T12:48:28Z
offer-agent-skills,Offer Skills Collection,amadeus-altea-offer/agent-skills,163,3,3,2026-04-15T16:16:17Z
etk-workflow-instructions,ETK Workflow Instructions,amadeus-order/ticketing.etk-workflow-instructions,23,1,1,2026-03-02T13:20:44Z
refx-nre-qa,RefX NRE QA Agents,amadeus-digital/refx-nre-qa-agents,13,1,1,2026-03-05T05:20:27Z
travel-companion-copilot-collections,Travel Companion Copilot Collections,amadeus-digital/travel-companion-copilot-collections,0,1,1,2026-04-06T11:12:42Z
clean-code-in-the-cloud,Clean Code in the Cloud,Amadeus-xDLC/genai.clean-code-in-the-cloud-skills-collect,164,4,4,2026-04-21T11:37:48Z
opentelemetry-tracing-toolkit,OpenTelemetry Tracing Toolkit,amadeus-airlines-solutions/nevio.opentelemetry-tracing-toolkit,7,1,1,2026-03-13T18:21:35Z
rail-context,Amadeus Rail Context,amadeus-travel-distribution/rail.ai.context,7,3,3,2026-04-15T08:15:53Z
airline-solutions-architecture,Airline Solutions Architecture,amadeus-airlines-solutions/air.airline-solutions-architecture-as-code,6,1,1,2026-04-10T15:42:07Z
