Source ID,Source Name,Repository,Total Downloads,Bundle Count,Version Count,Latest Release
dsre-git-skillset,Git Skillset,amadeus-digital/dsre-git-skillset,26,1,1,2026-03-13T14:41:17Z
spec-driven-instructions,Task driven workflow,amadeus-airlines-solutions/workflow-instructions,1186,5,31,2026-05-13T12:10:49Z
ospo-skills,OSPO Skills Collection,Amadeus-xDLC/ospo-skills-collection,83,1,2,2026-01-19T17:16:13Z
aude-skills,AUDE Skills Collection,amadeus-cloud-platform/aud.aude-skills-collection,64,1,2,2026-02-06T16:45:46Z
slidev-skills,Slidev Skills Collection,Amadeus-xDLC/devops.slidev-skills-collection,68,1,2,2026-03-31T12:37:26Z
ai-engineering-primitives,AI Engineering Primitives,amadeus-airlines-solutions/ai-engineering-primitives,149,2,15,2026-05-21T09:20:15Z
code-reviewer-generator-skills,PR Reviewer Generator,Amadeus-xDLC/gen.code-reviewer-generator-skills-collection,116,1,6,2026-05-19T07:29:16Z
offer-agent-skills,Offer Skills Collection,amadeus-altea-offer/agent-skills,319,6,34,2026-06-02T15:14:49Z
etk-workflow-instructions,ETK Workflow Instructions,amadeus-order/ticketing.etk-workflow-instructions,70,1,1,2026-03-02T13:20:44Z
refx-nre-qa,RefX NRE QA Agents,amadeus-digital/refx-nre-qa-agents,42,1,11,2026-06-01T11:21:14Z
travel-companion-copilot-collections,Travel Companion Copilot Collections,amadeus-digital/travel-companion-copilot-collections,5,3,6,2026-06-12T10:37:22Z
clean-code-in-the-cloud,Clean Code in the Cloud,Amadeus-xDLC/genai.clean-code-in-the-cloud-skills-collection,640,4,18,2026-06-11T13:43:45Z
opentelemetry-tracing-toolkit,OpenTelemetry Tracing Toolkit,amadeus-airlines-solutions/nevio.opentelemetry-tracing-toolkit,28,1,3,2026-05-19T08:19:18Z
nevio-solution-architecture-runway,Nevio Solution Architecture Runway,amadeus-airlines-solutions/nevio.solution-architecture-runway,16,1,8,2026-06-04T12:07:00Z
orms-qa-robot-helper,OrMS Robot test generator,amadeus-airlines-solutions/orms.qa-ai-helper,3,1,1,2026-06-09T09:22:48Z
rail-context,Amadeus Rail Context,amadeus-travel-distribution/rail.ai.context,21,3,12,2026-04-15T08:15:53Z
airline-solutions-architecture,Airline Solutions Architecture,amadeus-airlines-solutions/air.airline-solutions-architecture-as-code,110,1,3,2026-05-12T12:44:10Z
design-factory,Design Factory AI Skills,Amadeus-xDLC/design-factory.ai-skills,38,1,1,2026-04-28T08:13:02Z
specs-as-code-collection,Specifications as Code Collection,amadeus-airlines-solutions/specs-as-code-collection,14,1,5,2026-06-02T09:17:33Z
uis-ui-blueprint,UI Blueprint AI Skills and Instructions,Amadeus-xDLC/uis.ui-blueprint,4,1,1,2026-05-20T12:31:01Z
eed-genai-agentic-toolkit,EED GenAI Agentic Toolkit,Amadeus-xDLC/eed.genai.agentic-toolkit,131,11,21,2026-06-09T08:00:25Z
ide-project-template-generator-skills,IDE VS Code Project Template Generator Skills Collection,Amadeus-xDLC/ide.vscode-project-template-generator-skills-collection,1,1,1,2026-05-31T13:30:31Z
opo-engineering-agent-guides,OPO Engineering Agent Guides,outpayce-orion/opo-engineering-agent-guides,3,1,1,2026-05-21T07:22:53Z
docgen,DocGen - Expert Documentation Analyst,amadeus-search-shopping-pricing/docgen,0,1,1,2026-06-08T17:51:08Z
nevio-sre-ai-toolkit,Nevio SRE AI Toolkit,amadeus-airlines-solutions/nevio.sre-ai-toolkit,2,4,8,2026-06-09T08:18:56Z
EMEA-digital-services-workflow,EMEA Digital Services Workflow,amadeus-airlines-solutions/EMEA-digital-services-workflow,0,1,1,2026-06-12T07:19:41Z
