Source ID,Source Name,Repository,Total Downloads,Bundle Count,Version Count,Latest Release
dsre-git-skillset,Git Skillset,amadeus-digital/dsre-git-skillset,19,1,1,2026-03-13T14:41:17Z
spec-driven-instructions,Task driven workflow,amadeus-airlines-solutions/workflow-instructions,1032,5,19,2026-05-13T12:10:49Z
ospo-skills,OSPO Skills Collection,Amadeus-xDLC/ospo-skills-collection,62,1,1,2026-01-19T17:16:13Z
aude-skills,AUDE Skills Collection,amadeus-cloud-platform/aud.aude-skills-collection,53,1,1,2026-02-06T16:45:46Z
slidev-skills,Slidev Skills Collection,Amadeus-xDLC/devops.slidev-skills-collection,53,1,1,2026-03-31T12:37:26Z
ai-engineering-primitives,AI Engineering Primitives,amadeus-airlines-solutions/ai-engineering-primitives,109,2,2,2026-05-21T09:20:15Z
code-reviewer-generator-skills,PR Reviewer Generator,Amadeus-xDLC/gen.code-reviewer-generator-skills-collection,97,1,1,2026-05-19T07:29:16Z
offer-agent-skills,Offer Skills Collection,amadeus-altea-offer/agent-skills,204,3,3,2026-05-20T09:35:32Z
etk-workflow-instructions,ETK Workflow Instructions,amadeus-order/ticketing.etk-workflow-instructions,38,1,1,2026-03-02T13:20:44Z
refx-nre-qa,RefX NRE QA Agents,amadeus-digital/refx-nre-qa-agents,31,1,1,2026-05-15T09:23:40Z
travel-companion-copilot-collections,Travel Companion Copilot Collections,amadeus-digital/travel-companion-copilot-collections,1,1,1,2026-04-06T11:12:42Z
clean-code-in-the-cloud,Clean Code in the Cloud,Amadeus-xDLC/genai.clean-code-in-the-cloud-skills-collection,486,4,4,2026-05-05T12:23:55Z
opentelemetry-tracing-toolkit,OpenTelemetry Tracing Toolkit,amadeus-airlines-solutions/nevio.opentelemetry-tracing-toolkit,19,1,1,2026-05-19T08:19:18Z
nevio-solution-architecture-runway,Nevio Solution Architecture Runway,amadeus-airlines-solutions/nevio.solution-architecture-runway,6,1,1,2026-05-18T05:00:26Z
rail-context,Amadeus Rail Context,amadeus-travel-distribution/rail.ai.context,15,3,3,2026-04-15T08:15:53Z
airline-solutions-architecture,Airline Solutions Architecture,amadeus-airlines-solutions/air.airline-solutions-architecture-as-code,80,1,1,2026-05-12T12:44:10Z
design-factory,Design Factory AI Skills,Amadeus-xDLC/design-factory.ai-skills,23,1,1,2026-04-28T08:13:02Z
